Plot Rep Block Genotype Lat Loc Year Environment EV_V4 EV_V6 PH_V4 PH_V6 PH_final LO TILL FF MF
6090 1 609 DH_KE0439 31 ROG 2017 2017.ROG 5 5 24.33333333 51.66666667 119.6666667 1 4 70 NA
6091 1 610 DH_KE0639 31 ROG 2017 2017.ROG 6 6 30.66666667 67.33333333 127 1 6 70 NA
6092 1 610 DH_KE0018 31 ROG 2017 2017.ROG 5 5 27 62.66666667 182.3333333 1 3 78 NA
6093 1 610 DH_KE0435 31 ROG 2017 2017.ROG 6 6 39.33333333 77.33333333 137.6666667 9 2 66 NA
6094 1 610 DH_PE0129 31 ROG 2017 2017.ROG 4 5 23 52 128 1 5 72 NA
6096 1 610 DH_KE0042 31 ROG 2017 2017.ROG 6 6 24 65 136 1 3 70 NA
6097 1 610 DH_KE0399 31 ROG 2017 2017.ROG 5 6 24.66666667 60 162 1 1 70 NA
6098 1 610 DH_PE0045 31 ROG 2017 2017.ROG 6 7 30.66666667 68.33333333 105 1 5 68 NA
6099 1 610 DH_KE0253 31 ROG 2017 2017.ROG 5 5 26 58.33333333 139.3333333 4 1 72 NA
6100 1 610 DH_KE0719 31 ROG 2017 2017.ROG 5 5 23 49.33333333 127.3333333 1 3 74 NA
6101 2 611 DH_KE0675 31 ROG 2017 2017.ROG 5 4 24.33333333 53.66666667 78.66666667 2 7 78 NA
6102 2 611 DH_KE0642 31 ROG 2017 2017.ROG 5 4 22.33333333 48.66666667 124.3333333 3 3 68 NA
6103 2 611 DH_PE0042 31 ROG 2017 2017.ROG 6 6 29.33333333 68.66666667 120.3333333 2 4 72 NA
6104 2 611 DH_KE0639 31 ROG 2017 2017.ROG 6 5 27.33333333 58.66666667 119.6666667 1 5 72 NA
6105 2 611 DH_KE0544 31 ROG 2017 2017.ROG 5 5 25.33333333 60.66666667 155.6666667 2 4 88 NA
6106 2 611 DH_KE0094 31 ROG 2017 2017.ROG 5 5 26.33333333 58.66666667 176 2 3 70 NA
6107 2 611 DH_KE0443 31 ROG 2017 2017.ROG 4 5 23.33333333 57 97.66666667 1 4 74 NA
6109 2 611 DH_KE0114 31 ROG 2017 2017.ROG 6 6 27.66666667 64.33333333 128.6666667 1 4 80 NA
6110 2 611 DH_KE0181 31 ROG 2017 2017.ROG 5 5 21.66666667 44 118 7 3 74 NA
6111 2 612 DH_KE0085 31 ROG 2017 2017.ROG 4 5 22 56.66666667 126 9 1 68 NA
6112 2 612 DH_KE0249 31 ROG 2017 2017.ROG 4 3 19 42 139 2 1 72 NA
6113 2 612 DH_KE0650 31 ROG 2017 2017.ROG 7 6 29 65.66666667 158 2 2 70 NA
6114 2 612 DH_KE0018 31 ROG 2017 2017.ROG 6 5 29.33333333 62.66666667 180 1 1 78 NA
6115 2 612 DH_PE0197 31 ROG 2017 2017.ROG 6 6 22 59 95.33333333 1 6 70 NA
6116 2 612 DH_KE0165 31 ROG 2017 2017.ROG 3 4 19.5 45.5 120.6666667 7 1 74 NA
6117 2 612 DH_KE0656 31 ROG 2017 2017.ROG 7 8 34.66666667 71.66666667 175 1 4 70 NA
6118 2 612 DH_KE0662 31 ROG 2017 2017.ROG 6 5 25 56 108 6 5 70 NA
6119 2 612 DH_KE0433 31 ROG 2017 2017.ROG 4 5 21.66666667 52.66666667 86.33333333 3 1 70 NA
6120 2 612 DH_KE0357 31 ROG 2017 2017.ROG 4 4 24 47.33333333 105 5 2 72 NA
6121 2 613 DH_PE0109 31 ROG 2017 2017.ROG 5 6 22 66.33333333 110 2 2 74 NA
6122 2 613 UH007 31 ROG 2017 2017.ROG 6 8 28.33333333 74.33333333 157 1 1 66 NA
6124 2 613 DH_PE0129 31 ROG 2017 2017.ROG 5 5 24 57.33333333 132.6666667 2 6 72 NA
6125 2 613 DH_KE0628 31 ROG 2017 2017.ROG 7 6 33 72.33333333 185.3333333 1 1 70 NA
